step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
46,0,0,constant_velocity,turn_left,0.012870269107658889,47
46,0,0,constant_velocity,turn_right,0.012870269107658889,47
46,0,0,turn_left,constant_velocity,0.012870269107658889,47
46,0,0,turn_left,turn_left,0,47
46,0,0,turn_left,turn_right,0.025678114876868108,47
46,0,0,turn_right,constant_velocity,0.012870269107658889,47
46,0,0,turn_right,turn_left,0.025678114876868108,47
46,0,0,turn_right,turn_right,0,47
47,0,0,constant_velocity,constant_velocity,0,48
47,0,0,constant_velocity,turn_left,0.012870269107658573,48
47,0,0,constant_velocity,turn_right,0.012870269107659258,48
47,0,0,turn_left,constant_velocity,0.012870269107658573,48
47,0,0,turn_left,turn_left,0,48
47,0,0,turn_left,turn_right,0.025678114876868028,48
47,0,0,turn_right,constant_velocity,0.012870269107659258,48
47,0,0,turn_right,turn_left,0.025678114876868028,48
47,0,0,turn_right,turn_right,0,48
48,0,0,constant_velocity,constant_velocity,0,49
48,0,0,constant_velocity,turn_left,0.012870269107658908,49
48,0,0,constant_velocity,turn_right,0.012870269107658908,49
48,0,0,turn_left,constant_velocity,0.012870269107658908,49
48,0,0,turn_left,turn_left,0,49
48,0,0,turn_left,turn_right,0.025678114876868108,49
48,0,0,turn_right,constant_velocity,0.012870269107658908,49
48,0,0,turn_right,turn_left,0.025678114876868108,49
48,0,0,turn_right,turn_right,0,49
49,0,0,constant_velocity,constant_velocity,0,50
49,0,0,constant_velocity,turn_left,0.012870269107658889,50
49,0,0,constant_velocity,turn_right,0.012870269107658889,50
49,0,0,turn_left,constant_velocity,0.012870269107658889,50
49,0,0,turn_left,turn_left,0,50
49,0,0,turn_left,turn_right,0.025678114876868108,50
49,0,0,turn_right,constant_velocity,0.012870269107658889,50
49,0,0,turn_right,turn_left,0.025678114876868108,50
49,0,0,turn_right,turn_right,0,50
50,0,0,constant_velocity,constant_velocity,0,51
50,0,0,constant_velocity,turn_left,0.012870269107658908,51
50,0,0,constant_velocity,turn_right,0.012870269107658908,51
50,0,0,turn_left,constant_velocity,0.012870269107658908,51
50,0,0,turn_left,turn_left,0,51
50,0,0,turn_left,turn_right,0.025678114876868108,51
50,0,0,turn_right,constant_velocity,0.012870269107658908,51
50,0,0,turn_right,turn_left,0.025678114876868108,51
50,0,0,turn_right,turn_right,0,51
51,0,0,constant_velocity,constant_velocity,0,52
51,0,0,constant_velocity,turn_left,0.012870269107658608,52
51,0,0,constant_velocity,turn_right,0.012870269107659251,52
